Job.ID,Provider,Status,Slug,Title,Position,Company,City,State.Name,State.Code,Address,Latitude,Longitude,Industry,Job.Description,Requirements,Salary,Listing.Start,Listing.End,Employment.Type,Education.Required,Created.At,Updated.At
134275,2,open,skokie-il-macy-s-macy-s-seasonal-retail-commission-sales-women-s-shoes-part-time-skokie-il-old-orchard-mall-134275,"Macy's Seasonal Retail Commission Sales Women's Shoes, Part Time - Skokie, IL - Old Orchard Mall @ Macy's","Macy's Seasonal Retail Commission Sales Women's Shoes, Part Time - Skokie, IL - Old Orchard Mall",Macy's,Skokie,Illinois,IL,NA,42.0345,-87.7578,NA,"Overview:

The Seasonal Draw Commission Sales Associate is responsible for providing outstanding customer service, meeting hourly sales and Star Rewards goals on a personal and departmental basis, and demonstrating superior product knowledge to customers during periods of high volume. To create a shopping experience that will make the customer feel welcome and comfortable

In order to present our customers with the best holiday shopping experience, many of our Seasonal Draw Commission Sales Associates arrive prior to store opening and remain after closing to ensure we are ready to make Macy's magic. Seasonal associates will have the opportunity to work a flexible schedule on a temporary basis, which may include early mornings, evenings, weekends and busy events such as the day after Thanksgiving and the day after Christmas. And don't forget - just in time for holiday shopping, you will receive an employee discount of up to 20% starting your first day!

Essential Functions:
- Acknowledgecustomers in a friendly and helpful manner within 30 seconds of their entryinto the area

- Handle all returnscourteously and professionally

- Determine customerneeds based on personal features and other customer preference related factors

- Demonstrateknowledge of store products and services to build sales and minimize returns

- Suggest additionalmerchandise to compliment customer selection

- Demonstrate knowledge of store products and services to build sales and minimize returns

- Maintain a professional attitude with sincerity and enthusiasm reflecting Macy's commitment to our customer the most important person in our stores

- Be proficient in POS and MPOS systems includingSearch and Send, My Client and More@ Macy's tablet app

- Proactive in assisting customers who are usingdevices to shop and compare, whether Macy's devices or their own

- Assist customers in all aspects of servicefulfillment (i.e. BOPs), and have the ability to qualify customer needs, figureout what's right for them, and then get them in touch with the right associate,MBA, or Personal Shopper

- Regular, dependable attendance & punctuality

Qualifications:

Education/Experience:

No specific educational accomplishment is required. No experience is required.

Communication Skills:

Effective written and verbal skills, ability to interpret instructional documents such as safety rules, operating and maintenance instructions, and procedure manuals. Excellent written and verbal communication skills.

Mathematical Skills:

Basic math functions such as addition, subtraction, multiplication, and division. Able to use a calculator.

Reasoning Ability:

Self-starter, able to work independently and as part of a team and must have good time management skills.

Physical Demands:

This position involves constant moving and standing. Involves standing for at least two consecutive hours. Involves lifting at least 30 lbs. May occasionally involve reaching, stooping, kneeling, crouching, and climbing ladders. May involve reaching above eye level. Involves close vision, color vision, depth perception, and focus adjustment.

Other skills:

Must be able to function as part of a team. Possess a strong sense of urgency. Must enjoy meeting and interacting with customers. Possess a thirst for learning. Ability to collaborate and function as a member of a team. Must possess a strong sense of urgency. Should be comfortable with the use of computers and frequent use of RF equipment.

Work Hours:

Flexible with scheduling and available to work retail hours, which may include day, evening, weekends, and/or holidays.

This job description is not all inclusive. In addition, Macy's, Inc. reserves the right to amend this job description at any time. Macy's, Inc. is an Equal

Opportunity Employer, committed to a diverse and inclusive work environment.",NA,NA,12/5/2014,1/4/2015,Seasonal/Temp,Not Specified,2014-12-05 16:55:08 UTC,2014-12-05 16:55:08 UTC
134276,2,open,louisville-ky-kroger-louisville-part-time-clerks-needed,Part Time Clerks Needed @ Kroger - Louisville,Part Time Clerks Needed,Kroger - Louisville,Louisville,Kentucky,KY,NA,38.25486,-85.7664,NA,"Exciting Job Opportunities Await YOU at KROGER?ÿ
?ÿ
Now Hiring the following part-time positions 
at the Kroger store located at:
Brownsboro Rd
Louisville, KY?ÿ

Part Time Store Clerks Needed - All Departments?ÿ:
?ÿ?ÿ?ÿ
Benefits: 
ƒ?› Competitive wage ƒ?› Paid vacation after one year
ƒ?› 401K ƒ?› Advancement opportunities

(Drug screening and background checks are part of our hiring process.)

Apply in person at your neighborhood Kroger or apply online:
?ÿ

    www.Kroger.com
    Click on Careers
    Apply for hourly store opportunities
    Enter the zip code for the area you are applying
    Choose the Kroger store with the desired address
    Click on apply now and complete the application
    Your application will be sent to the store you chose 

?ÿ
?ÿ?ÿ?ÿ?ÿ?ÿ Thank you for your interest in a career at Kroger!",NA,NA,12/5/2014,1/4/2015,Part-Time,Not Specified,2014-12-05 16:55:09 UTC,2014-12-05 16:55:09 UTC
134277,2,open,mullins-sc-coca-cola-bottling-company-consolidated-flex-part-time-merchandiser-mullins-sc,"Flex (Part Time) Merchandiser - Mullins, SC @ Coca-Cola Bottling Company Consolidated","Flex (Part Time) Merchandiser - Mullins, SC",Coca-Cola Bottling Company Consolidated,Mullins,South Carolina,SC,NA,34.1893,-79.2589,NA,"Click here to view a video about this position.  Overview: This part-time position is responsible for stocking and merchandising various products in retail accounts. Merchandisers ensure that all beverage sections, racks, and displays are completely filled according to CCBCC's standards. Schedule: Start time is 6am until route completion.?ÿ some holidays.?ÿ Flexible Days Responsibilities include: Filling, merchandising and rotating product on displays and shelves according to CCBCC procedures and special programs Filling and merchandising of the fast lane merchandisers and vendors Provide excellent customer service to store personnel Requirements/Qualifications: Valid driverƒ??s license for your state of residency Must have an excellent driving record with an emphasis on the last 7 years (A 7-year Motor Vehicle Report will be reviewed) Must able to work in fast-paced, continuous-lifting environment Ability to lift up to 50 lbs. repetitively Self-motivated with a high degree of integrity and be able perform job duties with minimal supervision on a timely basis Past job performance must reflect dependability, maturity, initiative, professional demeanor, and the ability to exercise sound judgment Must desire part-time employment Note: Employees are required to use personal vehicle for this position and will be reimbursed for store-to-store mileage. Personal vehicle must have current state inspection, licensing and registration as law requires, and remain in safe operating condition. Must be able to provide declaration page from insurance policy to verify current coverage of liability and property damage at no less than $50,000 per person / $100,000 per occurrence / $50,000 property damage. Or, be able to obtain and show proof of additional coverage before employment begins. These insurance minimums must be retained throughout course of employment. ",NA,NA,12/5/2014,1/4/2015,Part-Time,Not Specified,2014-12-05 16:55:10 UTC,2014-12-05 16:55:10 UTC
134278,2,open,philadelphia-pa-catch-inc-child-psychotherapist-134278,"Child Psychotherapist @ CATCH, Inc.",Child Psychotherapist,"CATCH, Inc.",Philadelphia,Pennsylvania,PA,NA,39.9389,-75.1824,NA,"&nbsp;


    
    Complete
    intake assessments for children and families.
    
    
    Provide
    individual therapy and family therapy.
    
    
    Provide
    referral assistance as needed.
    
    
    Work
    in a team treatment environment with child psychologist, case management unit
    and child psychiatrist.&nbsp; 
    
    
    Develop
    individual treatment plan for each assigned client in conjunction with
    Psychiatrist, Case Manager, and other members of the treatment team. Determine
    proper modality of treatment and provide appropriate therapy for each assigned
    client in accordance with his/her treatment plan.
    
    
    Serve
    as Primary Case Manager for all non-aftercare clients in caseload.&nbsp; This involves coordination of service
    delivery with other departments and agencies, consultation with treating
    Psychiatrist regarding medication compliance, and other issues, etc.
    
    
    Provide
    crisis intervention services.&nbsp; Duties
    include: conducting emergency evaluations, determining proper disposition and
    arranging for needed services for emergency cases, both walk-ins and active
    cases.
    
    
    Maintain
    the documentation in record/chart of clients in assigned caseload that is
    necessary to meet State Regulatory Standards.&nbsp;
    This includes, but is not limited to, regular review and update of
    treatment plans, daily progress notes that are consistent with treatment goals.
    
    
    Submit
    all documentation pertaining to the billing for treatment services in a timely
    fashion, and assure that correct and updated information regarding insurance
    coverage is available.
    
    
    Attend
    scheduled staff and supervision meetings.
    
    
    Participate
    in In-Service Training, Conferences, and Workshops as assigned and approved by
    Associate Director.
    
    
    Perform other duties as assigned by supervisor.
    


 ",NA,NA,12/5/2014,1/4/2015,Full-Time/Part-Time,Master's Degree,2014-12-05 16:55:11 UTC,2014-12-05 16:55:11 UTC
134279,2,open,louisville-ky-kroger-louisville-part-time-clerks-needed-134279,Part Time Clerks Needed @ Kroger - Louisville,Part Time Clerks Needed,Kroger - Louisville,Louisville,Kentucky,KY,NA,38.25486,-85.7664,NA,"Exciting Job Opportunities Await YOU at KROGER?ÿ
?ÿ
Now Hiring the following part-time positions 
at the Kroger store located at:
Shelbyville Rd - MIddletown
Louisville, KY?ÿ

Part Time Store Clerks Needed - All Departments?ÿ:
?ÿ?ÿ?ÿ
Benefits: 
ƒ?› Competitive wage ƒ?› Paid vacation after one year
ƒ?› 401K ƒ?› Advancement opportunities

(Drug screening and background checks are part of our hiring process.)

Apply in person at your neighborhood Kroger or apply online:
?ÿ

    www.Kroger.com
    Click on Careers
    Apply for hourly store opportunities
    Enter the zip code for the area you are applying
    Choose the Kroger store with the desired address
    Click on apply now and complete the application
    Your application will be sent to the store you chose 

?ÿ
?ÿ?ÿ?ÿ?ÿ?ÿ Thank you for your interest in a career at Kroger!",NA,NA,12/5/2014,1/4/2015,Part-Time,Not Specified,2014-12-05 16:55:12 UTC,2014-12-05 16:55:12 UTC
134280,2,open,southern-pines-nc-longhorn-steakhouse-hiring-kitchen-positions-experienced-line-cooks,Hiring Kitchen Positions - Experienced Line Cooks @ LongHorn Steakhouse,Hiring Kitchen Positions - Experienced Line Cooks,LongHorn Steakhouse,Southern Pines,North Carolina,NC,NA,35.1744,-79.39149,NA,"Steer YOUR Success

At LongHorn, team members steer our success and their own. Thatƒ??s why we believe in hiring only Great People who can consistently deliver Great Food with a big helping of Genuine Western Hospitality. Our goal is to make every guest a loyal guest and we depend on our team members to make that happen.
?ÿ
If you're hungry for a career with a restaurant company that offers world-class experiences, superior benefits, advancement opportunities and top-notch training, then welcome to the West.
?ÿ
In each of our 400+ restaurants, we work to capture the flavor and fun of the American West. Opportunities with LongHorn are endless as we continue to open new locations across the country.
?ÿ








Now Hiring Experienced Line Cooks & Chefs in Southern Pines!

Experienced grill cooks and chefs, experience working in high volume?ÿrestaurants

Paying high dollar competitive wages
 



We offer our team members competitively superior Benefits


",NA,NA,12/5/2014,1/4/2015,Full-Time/Part-Time,Not Specified,2014-12-05 16:55:13 UTC,2014-12-05 16:55:13 UTC
134281,2,open,elizabeth-nj-new-york-community-bank-hr-administrator,HR Administrator @ New York Community Bank,HR Administrator,New York Community Bank,Elizabeth,New Jersey,NJ,NA,40.6709,-74.179,NA,"JOB SUMMARY Provides administrative support for the Employee Relations or Employment & Staffing Operations Department on a Part Time (20-25hrs/wk) basis; Monday - Friday 12PM-5PM.?ÿESSENTIAL FUNCTIONS Prepares and audits various unit reports for accuracy, consistency and completeness. When requested by Manager/Executive, provides analysis of data and suggestions for improved quality of reporting and data. Enters and audits employee information in the HRIS database. Files and scans unitrelated paperwork into document scanning system. Audits own and others' work to ensure scanning has been done properly. Assists in the annual completion of NYCB's Affirmative Action Plan. Assistance may include gathering documentation of good faith efforts and/or auditing/collecting/revising employee data. Performs duties related to regulatory and legal compliance (compliance postings, I9 Form completion, EVerify, etc.). Completes HR forms to process employee changes (hires, terms, transfers, etc.). Ensures data is accurate and complete and forms receive proper review and approval. When required, enters data/scans documents into HR systems (document imaging, HRIS, onboarding, employee/new hire portal, etc.). May assist with support of unit duties such as gathering information related to unemployment claim responses, unit employee investigations or applicant tracking/candidate screening.   EDUCATION AND EXPERIENCE High School Diploma or equivalent. Two years related experience.  KNOWLEDGE, SKILLS AND ABILITIES PC Proficient, including Microsoft Word, Excel, and PowerPoint. Good communications skills. Ability to maintain confidentiality.  ABOUT NEW YORK COMMUNITY BANCORP, INC. New York Community Bancorp, Inc. (NYSE:NYCB) is the 20th largest bank holding company in the nation, a leading producer of multifamily loans in New York City, and a national aggregator of onetofour family loans. Our Family of Banks consists of two bank subsidiaries, New York Community Bank and New York Commercial Bank. Our banks serve consumers as well as businesses. With over 270 branches in five states New York, New Jersey, Ohio, Florida and Arizona, we are able to provide clients with a wide range of financial solutions tailored to their needs. Learn more about NYCB and the services we offer at www.NYCBFamily.com.  BRANCH OUT and help recruit top talent for NYCB through the employee referral program. All NYCB employees are encouraged to submit referrals. Locate top talent right in the community where you live, work and play. Amazing individuals are all around be sure to let them know how they can become a part of the NYCB family.   All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability or protected veteran status ",NA,NA,12/5/2014,1/4/2015,Part-Time,Not Specified,2014-12-05 16:55:14 UTC,2014-12-05 16:55:14 UTC
134282,2,open,dayton-oh-macy-s-retail-gift-registry-advisor-full-time-part-time-dayton-oh-macy-s-dayton-mall,"Retail Gift Registry Advisor, Full Time/Part Time: Dayton, OH - Macyƒ??s Dayton Mall @ Macy's","Retail Gift Registry Advisor, Full Time/Part Time: Dayton, OH - Macyƒ??s Dayton Mall",Macy's,Dayton,Ohio,OH,NA,39.6468,-84.1683,NA,"Job Overview:

As a Gift Registry Advisor, you will be an integral part of bringing the magic of Macy's to life. Gift Registry Advisors are Macy's Home Lifestyle/Gift Registry Experts who provide personalized service through direct selling, product expertise and the use of social media tools with couples, gift givers and customers. Gift Registry Advisors are essential partners in creating a unique experience that will make customers feel welcome and comfortable.

The summary below may not include all the essential functions and qualifications for this position. For more information, we encourage you to review the complete job description by clicking here.

Essential Functions:
- Guiding couples through the creation of a personalized gift registry including items for their home including kitchen, dining, bedding and bath items

- Extending personalized service to couples, gift givers and all home store customers

- Continual communication through email, telephone calls and in-person appointments with couples regarding their registry

- Assist registering couples in developing their desired personal style for their new home through product knowledge and promoting all Families of Business (FOB's) including furniture

- Maintain a professional attitude with sincerity and enthusiasm reflecting Macy's commitment to our customer the most important person in our stores

- Ability to incorporate technology; computers, tablets, smart phones and social media tools to enhance the registry experience

- Regular, dependable attendance & punctuality

Qualifications:

Education /Experience

- Retail or sales experience in customer service focused business.

- 2-4 years retail/customer experience preferred

- Direct Home Store experience preferred, but not required

Communication Skills

- Ability to effectively communicate with and present information to customers, vendors, peers and all levels of management.

- Able to communicate via email and on the telephone with proper etiquette

- Ability to read, write, and interpret instructional documents such as product information, operating and maintenance instructions, and procedure manuals

Mathematical Skills

- Basic math functions such as addition, subtraction, multiplication, and division and use a calculator.

- Must be able to calculate percentages and ratios.

- Must be able to make change using American Monetary units.

Other Skills

- Superior organizational skills and time management skills

- Must be able to build relationships and influence others

- Ability to set and achieve goals

- Ability to task in a fast paced environment

- Must enjoy meeting and interacting with customers. Possess strong sense of urgency and a thirst for learning.

Work Hours

- Must be able to work a four-week fixed rotating retail schedule including days, evenings and weekends.
This job description is not all inclusive. In addition, Macy's, Inc. reserves the right to amend this job description at any time. Macy's, Inc. is an Equal Opportunity Employer, committed to a diverse and inclusive work environment.",NA,NA,12/5/2014,1/4/2015,Full-Time/Part-Time,Not Specified,2014-12-05 16:55:16 UTC,2014-12-05 16:55:16 UTC
134283,2,open,bloomington-mn-holiday-inn-express-independently-owned-operated-weekend-breakfast-attendant,Weekend Breakfast Attendant @ Holiday Inn Express- Independently Owned & Operated,Weekend Breakfast Attendant,Holiday Inn Express- Independently Owned & Operated,Bloomington,Minnesota,MN,NA,44.8737,-93.3343,NA,"Holiday Inn Express and Suites Bloomington Mpls Arpt Area West located&nbsp;off I-494 and France Ave&nbsp;in Bloomington,&nbsp;is currently seaking a weekend breakfast attendant to assist with our breakfast buffet for our guests.&nbsp; Our 159 room hotel serves continental hot breakfast to our guest.&nbsp; Breakfast items are heat and serve typically.",NA,NA,12/5/2014,1/4/2015,Part-Time,Not Specified,2014-12-05 16:55:16 UTC,2014-12-05 16:55:16 UTC
134284,2,open,louisville-ky-kroger-louisville-part-time-clerks-needed-134284,Part Time Clerks Needed @ Kroger - Louisville,Part Time Clerks Needed,Kroger - Louisville,Louisville,Kentucky,KY,NA,38.25486,-85.7664,NA,"Exciting Job Opportunities Await YOU at KROGER?ÿ
?ÿ
Now Hiring the following part-time positions 
at the Kroger store located at:
Holiday Manor
Louisville, KY?ÿ

Part Time Store Clerks Needed - All Departments?ÿ:
?ÿ?ÿ?ÿ
Benefits: 
ƒ?› Competitive wage ƒ?› Paid vacation after one year
ƒ?› 401K ƒ?› Advancement opportunities

(Drug screening and background checks are part of our hiring process.)

Apply in person at your neighborhood Kroger or apply online:
?ÿ

    www.Kroger.com
    Click on Careers
    Apply for hourly store opportunities
    Enter the zip code for the area you are applying
    Choose the Kroger store with the desired address
    Click on apply now and complete the application
    Your application will be sent to the store you chose 

?ÿ
?ÿ?ÿ?ÿ?ÿ?ÿ Thank you for your interest in a career at Kroger!",NA,NA,12/5/2014,1/4/2015,Part-Time,Not Specified,2014-12-05 16:55:18 UTC,2014-12-05 16:55:18 UTC
134285,2,open,onalaska-wi-aldi-store-associate-retail-sales-customer-service-134285,Store Associate - Retail Sales (Customer Service) @ ALDI,Store Associate - Retail Sales (Customer Service),ALDI,Onalaska,Wisconsin,WI,NA,43.9065,-91.2334,NA,"Hiring Event Details
Store Associate

$12.00 / Hour
Additional $1.00 Per Hour For ALL Sunday Shifts!
50 Cent Wage Increases Beginning At 6 Months - Up to $13.50 At 2 Years

Monday, December 15, 2014
9am - 11am

ALDI
3133 Market Place Dr
Onalaska, WI 54650

&nbsp;
For consideration, please apply in person at the hiring event only. Get started now by downloading our Store Employment Application.

Store Associate - Retail Sales ( Customer Service )

If you are a customer service minded individual with a positive and energetic personality and you&rsquo;re interested in working for one of the best-known grocery stores in the nation, join the ALDI family! We are looking for motivated and reliable individuals to serve as a Store Associate. You will serve as the face of ALDI, providing customers with friendly and efficient check-out services. But that&rsquo;s just the beginning. You will also assist the store manager in a variety of roles, from stocking and merchandising our products to monitoring inventory and keeping the store looking clean and inviting. This is also an excellent ground-floor opportunity for you if you are interested in pursuing a management career, as we prefer to promote from within whenever possible. If you are a people person who likes to roll up your sleeves and put in a good day&rsquo;s work, we want to talk with you!


Store Associate - Retail Sales ( Customer Service )

Job Responsibilities
&nbsp;
As a Store Associate, you will be involved in all aspects of keeping the store looking and functioning at its best. First and foremost, of course, you will keep your checkout line moving as quickly and smoothly as possible while ensuring that customers have a pleasant and positive shopping experience. In addition, you will have a variety of other duties throughout the store, which you will perform on an as-needed basis.
&nbsp;
Your specific duties as a Store Associate will include:
&nbsp;

    
    Providing friendly and informative customer service
    
    Ringing up customers quickly, efficiently, and with a smile
    
    Maintaining professional appearance and demeanor at all times
    
    Making a positive impression on customers to encourage word-of-mouth referrals
    
    Scanning products
    
    Conducting cash and inventory control
    
    Maintaining displays and ensuring that they are kept stocked and up to company standards
    
    Loading and unloading delivery trucks
    
    Rotating stock
    
    Keeping the store clean (floors, registers, bathrooms, etc.)

",NA,NA,12/5/2014,1/4/2015,Full-Time/Part-Time,High School Diploma,2014-12-05 16:55:19 UTC,2014-12-05 16:55:19 UTC
